Section,Reference / screenshot,Element,Original copy,Your rewrite,Graphic change needed?,Instructions / notes
About Me / Key skills,About me.png; Key skills categories.png,Card 3 body,"I actively support creative professionals and impactful initiatives that advance culture, foster innovation, and contribute to positive change in society.",Needs to capture the multi-agentic framework I put into businesses for $2K and then retainer. Needs to be discussed for you to understand the details of this.,,"Replace with specific, credible description; keep card lengths reasonably balanced."
About Me / Key skills,About me.png; Key skills categories.png,Card 4 title,Business Partner,Business Partner,,Use a role or capability that is accurate.
About Me / Key skills,About me.png; Key skills categories.png,Card 4 body,"I collaborate closely with founders and teams, offering experience, structure, and long-term commitment to help businesses grow stronger and reach shared ambitions.","I collaborate closely with founders and teams, offering experience, structure, and long-term commitment to help businesses grow stronger and reach shared ambitions.",,"Replace with specific, credible description; keep card lengths reasonably balanced."
About Me / Key skills,About me.png; Key skills categories.png,Closing line,"My mission is to support those who dare to take risks, and create meaningful businesses.","My mission is to support those who dare to take risks, lift their people, and create meaningful businesses.",,Use a clear mission statement; check punctuation and tone.
Projects / Achievements,Achievements - Molly.png,Eyebrow,Projects,,,Keep aligned with the section purpose.
Projects / Achievements,Achievements - Molly.png,H2,What I'm Proud of,,,Use a heading that fits your achievements.
Projects / Achievements,Achievements - Molly.png,Intro line,"These are projects I’ve created, actively contributed to, or supported as an investor and partner.ultant or business partner.","These are businesses and projects I’ve invested in, actively contributed to, or supported as a consultant or business partner.",,Clarify your contribution to each project.
Projects / Achievements,Achievements - Molly.png,Project 1 title,Reliable Center,Raising a beautiful daughter,photo of Molly,Replace with the real project name and image.
Projects / Achievements,Achievements - Molly.png,Project 1 category,Childcare Center,Isabella Molly Friis,,Use a concise category.
Projects / Achievements,Achievements - Molly.png,Project 1 year,2026,2001 - 2019,,Verify the year or use a date range.
Projects / Achievements,Achievements - Molly.png,Project 1 tags,"Entrepreneur, Investor",Present Father & Life Coach,,Keep only applicable roles.
Projects / Achievements,Achievements - Molly.png,Project 2 title,Lumina Auto,Channel Zero Productions,photo of event,Replace with the real project name and image.
Projects / Achievements,Achievements - Molly.png,Project 2 category,Auto Center,Event Management,,Use a concise category.
Projects / Achievements,Achievements - Molly.png,Project 2 year,2025,2000,,Verify the year or use a date range.
Projects / Achievements,Achievements - Molly.png,Project 2 tags,"Investor, Business Partner",Event Director - 2000AD The Event,,Keep only applicable roles.
Projects / Achievements,Achievements - Molly.png,Project 3 title,Department of Function,Clarity Engine,Clarity Engine logo,Replace with the real project name and image.
Projects / Achievements,Achievements - Molly.png,Project 3 category,Healthcare Organization,AI Consultancy,,Use a concise category.
Projects / Achievements,Achievements - Molly.png,Project 3 year,2024,2024,,Verify the year or use a date range.
Projects / Achievements,Achievements - Molly.png,Project 3 tags,"Advisor, Entrepreneur","Advisor, Business Coach",,Keep only applicable roles.
Projects / Achievements,Achievements - Molly.png,Project 4 title,New element,Schoology — NZ & Australia,Check visually (project photo),"New tile — the software sales decade. Confirm the Framer tile has a caption/stat field; if so it should carry ""2,800 -> 24,500 licensed users"" or the five-campus-save line (design/01-positioning-brief.md S4 ranks 1-2), not just title/category/year. Do not print the employer name anywhere on this tile - vendor (Schoology/PowerSchool) only."
Projects / Achievements,Achievements - Molly.png,Project 4 category,New element,"SaaS Channel Partner, Education",,"Use a concise category, matching the others."
Projects / Achievements,Achievements - Molly.png,Project 4 year,New element,2015 - 2025,,"General Manager, NZ & Australia, per Brad Friis Resumes/bradfriisresumemaster20260806.md."
Projects / Achievements,Achievements - Molly.png,Project 4 tags,New element,"Channel Partner, Business Consultant",,Keep only applicable roles.
Projects / Achievements,Achievements - Molly.png,Section link/heading,Other projects,Discuss this - may drop it entirely,,Confirm whether this links to a portfolio/archive page.
Social Networks,,Eyebrow,Social Networks,Not included at present,,
Social Networks,,H2,Where to Find Me,Not included at present,,
Social Networks,,Link 1,Linkedin (→ linkedin.com/in/timofeybak),Not included at present,,Replace placeholder URLs with your own verified profile links.
Social Networks,,Link 2,Facebook (→ facebook.com/timofey.bak.7),Not included at present,,Replace placeholder URLs with your own verified profile links.
Social Networks,,Link 3,X/Twitter (→ x.com/_mayweather),Not included at present,,Replace placeholder URLs with your own verified profile links.
Career / Life's Journey,Lifes Journey.png,Eyebrow,Career,Life Journey - Formative Years,,
Career / Life's Journey,Lifes Journey.png,H2,My Way,My Way ,,
Career / Life's Journey,Lifes Journey.png,Intro line,"The journey to becoming who I am today wasn't easy, and I look back on every step with love. Below are my key roles.","The journey to becoming who I am today wasn't easy, and I look back on every step with love. Below are some key moments throughout my  life.",,
Career / Life's Journey,Lifes Journey.png,Role 1,"Co-Founder, CEO — Beeza — 2025 → Now",Fundraising for a cubs uniform - aged 7,Photo of me as a kid,"I took a tin can and knocked on doors in the neighborhood askng for donations for my cubs uniform. Our family was financially strapped at the time, which was a part of my pitch. Outcome: A kick up the bum, and return all monies to people, and a cubs uniforms!"
Career / Life's Journey,Lifes Journey.png,Role 2,"Founder, CEO — Close AI — 2024 → 2025",School Sales Champion - Aged 11,Photo of me as a 11 year old,"My Intermediate school ran a plastic freezer and sandwich bag selling campaing to raise money. For 2.5 month I cycled across Hastings, Hawkes Bay, knocking on doors selling them. Final count was I was just shy of selling more than the entire school combined sales. Outcome: I won the scientific calculator."
Career / Life's Journey,Lifes Journey.png,Role 3,Founder — Arrana — 2020 → 2024,Event Manager - Aged 14,photo of teenagers partying,"Booked a band and built a multi level stage with my father for them to perform on. Targeted the 'popular students' at the highschools in our city, with a sales incentive of a free ticket for every 10 sold. Outcome: Party of the year, with 350 teenagers causing abolute mayhem. Despite being a very profitable exercise, permission to repeat it was declined."
Career / Life's Journey,Lifes Journey.png,Role 4,New element,Hairdressing - aged 15,image of high fashion haircut,"At the tender age of 15 I began hairdressing in what I later discovered was the central hub of NZ's most talented hairdressers. Continued the hairdressing journey working at Grace (Wgtn), Cut Above (Auck) and Kaos Hair Control (Auck) until 20 years old, when I realised the income I sought could only be achieved by ownign multiple salons - and managing mulitple hairdressers. Left the profession."
Career / Life's Journey,Lifes Journey.png,Role 5,New element,Fashion model,,"Explored the world of high fashion and modeling, working for Maysie Bestall-Cohen in Auckland. It went hand in hand with hairdressing, though found the scene and values m,isaligned with my own. Decined an offer to move to Australia and work with a new agency Maysie was opening in Sydney. "
Career / Life's Journey,Lifes Journey.png,Role 6,New element,DJ'ing landed - aged 18,DJ'ing image,"Purchased 10K worth of DJ equipment and sound gear and began self education and throwing events. 4 years later and countless attempts be repossession agents to take my gear, I paid it off. No longer producing events, last count was over 130."
Career / Life's Journey,Lifes Journey.png,Role 7,New element,First sales role - Infone - Aged 21,,"Began my first legit paid sales role. An early tech business with 4 digit code on the back of phone books that took dialers to adverts from paid advertisers e.g. plumbers, mower repaiers etc. Achieved highest sales in NZ, despite the venture never really getting traction long term."
Career / Life's Journey,Lifes Journey.png,Role 8,New element,Event Director - 2000AD The Event - Aged 27,need images,"Spent the entire 1999 year producing the largest private millenium event in NZ. 15,000 people, 2 stages with Pearl Jam's same rig on band stage, 12 x 3 metres stacks of JBL sound gear in dance marquee with 96 intelligent lights and 2 full colour lasers. Sold naming rights to DB for 10 seconds of the laser at midnight for 36K. All NZ lineup including The Exponents, Mark de Clive Lowe, Bongmaster (became Fat Freddy's Drop), The New Loungehead, Matt Drake, Andy Vann, DJ Lemon and many more."
Career / Life's Journey,Lifes Journey.png,Role 9,New element,Fatherhood - My Greatest Achievement,photo of Molly,"My beautiful daughter Molly was born, on March 2nd 2001. I learned more about myself parenting her, than any other part of my life. She has blossomed into a strong, creative and kind young woman who completed her degree at Toi Whakaari (NZ Drama School) in 2024. Molly finished with a 96% average pass rate and supported herself finacially throughtout the grueling degree. Now living in Berlin with her fantastic partner Thomas, she's having the time of her life with a well earned year off. "
Career / Life's Journey,Lifes Journey.png,Role 10,New element,Advertising Agency,,"Had to get serious, had a family to provide for. Tried to keep DJ'ing, as music and playing it was such a passion. Lasted around 6 months when I realised playing out late and sleeping in was causing me to miss my daughter too much. Stopped performing in public though never stoppped following cutting edge jazz infused electronic body music (music made for dancing!) The rest of my journey can be found in my CV (add link?)"
Testimonials / References,References-Testimonials.png,Eyebrow,Testimonials,,,"Use real, permission-cleared testimonials."
Testimonials / References,References-Testimonials.png,H2,People Say,,,
Testimonials / References,References-Testimonials.png,Quote 1,Dave has an exceptional ability to see opportunities where others see risk. Working with him has been both profitable and inspiring.,"At a time when we were considering moving away from Schoology, Brad helped us see the platform's potential. He created custom strategies and workarounds that fit our operations, giving us the confidence to invest in the platform further.",Check visually (avatar),Replace with an approved quote; confirm avatar/photo permission.
Testimonials / References,References-Testimonials.png,Quote 1 attribution,"Soul Cristofer — Founder, Goora","Adrian Pilgrim — Teaching and Learning Manager, The Industry School (five campuses)",,"Verify name, title, company, and spelling. Quote 3 contains the template typo “an great partner”; correct it to “a great partner”."
Testimonials / References,References-Testimonials.png,Quote 2,"As a business partner, Dave is transparent, strategic, and deeply committed to long-term success. You always know where you stand with him.","One of Brad's most remarkable qualities is his ability to support teachers, particularly those resistant to change. His empathetic and proactive approach ensures that even the most hesitant team members became confident users.",Check visually (avatar),Replace with an approved quote; confirm avatar/photo permission.
Testimonials / References,References-Testimonials.png,Quote 2 attribution,"Theodore Blake — Brand Manager, Wellox",Andrew Bergh — High School Principal (nine years working together),,"Verify name, title, company, and spelling. Quote 3 contains the template typo “an great partner”; correct it to “a great partner”."
Testimonials / References,References-Testimonials.png,Quote 3,Working with Dave has been a transformative experience for our business. He brings sharp strategic insight while staying grounded and practical. His ability to balance vision with execution makes him an great partner.,Several of Brad's past clients have mentioned his ability a number of years on from his departure.,Check visually (avatar),Replace with an approved quote; confirm avatar/photo permission.
Testimonials / References,References-Testimonials.png,Quote 3 attribution,"Ava Williams — CTO, Hill Communications",Phillip Lemon — Brad's manager at CanWest Media (writing after both had left),,"Verify name, title, company, and spelling. Quote 3 contains the template typo “an great partner”; correct it to “a great partner”."
Testimonials / References,References-Testimonials.png,Quote 4,Collaborating with Dave pushed our business to the next level. His strategic thinking and calm decision-making are invaluable.,It is my observation that Brad has assisted with a significant improvement in tourism industry buy-in to the core marketing activities of Hawke's Bay Tourism during this time.,Check visually (avatar),Replace with an approved quote; confirm avatar/photo permission.
Testimonials / References,References-Testimonials.png,Quote 4 attribution,"Pat Moravich — CEO, Acronis","Hamish Lowry — General Manager, Hawke's Bay Tourism",,"Verify name, title, company, and spelling. Quote 3 contains the template typo “an great partner”; correct it to “a great partner”."
Blog / Insights,Blog-Insights-Shared-Wisdom.png,Eyebrow,Blog,Thoughts from the trenches,,"A collection of articles I will write across the various verticals I am promoting as my skills and consultancy categories: website design, UX, UI, CX, sales strategy, onboarding new customers, training strategies, customer engagement, communications strategy - story telling etc."
Blog / Insights,Blog-Insights-Shared-Wisdom.png,H2,What I Share,,,
Blog / Insights,Blog-Insights-Shared-Wisdom.png,Intro line,"Here you can read my news, business insights, and other experiences. It's incredibly important to share knowledge with those who have chosen the same path as you.","Here you can read my news, business insights, creative musings and other learning experiences. It's incredibly important to share knowledge with those who have chosen the same path as you.",,Replace with your content promise and audience benefit.
Blog / Insights,Blog-Insights-Shared-Wisdom.png,Post 1,"Oct 12, 2025 — ""Interview on CBS: New business approach""",Topic tbc,Image needed - thumbnail and larger for article,Replace with real title/date/link/image. Template posts share the same date and placeholder X/Twitter link.
Blog / Insights,Blog-Insights-Shared-Wisdom.png,Post 2,"Oct 12, 2025 — ""Article: How to implement business strategy""",Topic tbc,Image needed - thumbnail and larger for article,Replace with real title/date/link/image. Template posts share the same date and placeholder X/Twitter link.
Blog / Insights,Blog-Insights-Shared-Wisdom.png,Post 3,"Oct 12, 2025 — ""News: What's new in an automobile industry""",Topic tbc,Image needed - thumbnail and larger for article,Replace with real title/date/link/image. Template posts share the same date and placeholder X/Twitter link.
Blog / Insights,Blog-Insights-Shared-Wisdom.png,Post 4,"Oct 12, 2025 — ""Article: Reface implemented some new things""",Topic tbc,Image needed - thumbnail and larger for article,Replace with real title/date/link/image. Template posts share the same date and placeholder X/Twitter link.
Contact / Ways to Connect,Ways to connect - form.png,Eyebrow,Contact Me,,,
Contact / Ways to Connect,Ways to connect - form.png,H2,Ways to Connect,,,
Contact / Ways to Connect,Ways to connect - form.png,Name,Dave Richardson,Brad Friis,,Replace with the correct name.
Contact / Ways to Connect,Ways to connect - form.png,Tags,"Entrepreneur, Investor, Advisor, Business Partner","Marketing & Identity, Sales Strategy, AI Business Consultant, Website Strategy, SaaS Business Consultant, Communications ",,Keep only relevant roles.
Contact / Ways to Connect,Ways to connect - form.png,Email,hello@davewebsite.com,brad@clarityengine.co,,Replace with a monitored address and test the mail link.
Contact / Ways to Connect,Ways to connect - form.png,Form heading,Message Me:,Message Me:,,
Contact / Ways to Connect,Ways to connect - form.png,Form fields,"(name, email, subject, message — unlabelled in the a11y tree, check visually)",Form goes here,,"Confirm visible labels, required fields, validation, and privacy compliance."
Contact / Ways to Connect,Ways to connect - form.png,Submit button,Send message,Send message,,Confirm form delivery and success/error states.
Contact / Ways to Connect,Ways to connect - form.png,Privacy line,Your information will remain private and will not be shared without your permission.,Your information will remain private and will not be shared without your permission.,,Ensure this matches your actual privacy practices and policy.
Footer,,Copyright,© 2025 Prolens. All rights reserved.,© 2025 Clarity Engine. All rights reserved.,,Update brand and year.
Footer,,Credit line,Created by Timofey Bak,Delete,,"Remove or replace; this is the template designer credit, not yours."
Footer,,Credit line,Built in Framer,Delete,,Keep only if appropriate for your site/arrangement.
