id,day,slot,category,title,summary,detail,CORRECTED_title,CORRECTED_summary,CORRECTED_detail,notes
implementation-blockers-qa,friday,morning,support,Implementation blockers and QA,"Clear what is holding live implementations up, and fix the causes, not just the cases.","Every week some implementations have something stuck: a data issue, a configuration question, a decision waiting on someone. Work through the open ones and clear what can be cleared. Just as important is spotting when the same blocker shows up twice, because that means the process needs fixing so the next school never meets it.",,,,
delivery-capacity-planning,friday,afternoon,implementation,Delivery capacity planning,Match what sales is about to close against what we can actually deliver well.,"Selling past your ability to deliver is the fastest way to lose the customers you already have. Map the committed implementations and training against the time we actually have, and feed the honest answer back into the sales side. Sometimes that means slowing a deal down so the school’s experience holds up. It always pays for itself at renewal.",,,,
sla-billing-strategy,monday,morning,commercial,Service agreements and billing review,Keep what we promise in writing lined up with what we can actually deliver.,"I design our service agreements, billing and invoicing, and review them regularly against reality. A service level agreement is a promise with a signature on it, so check what we have committed to against what we are resourced to provide, and adjust the billing structure as the customer base grows. Keeping the paperwork honest means renewals never turn into arguments.",,,,
financial-strategy-forecasting,monday,afternoon,commercial,Financial strategy and forecasting,Model the year around the school funding cycle rather than a straight line.,"School budgets run on their own calendar, and it does not look like a standard sales year. Build our financial projections around when schools can actually commit money. That changes when we invest in pipeline and how we staff delivery through the quieter months. The forecasting is mine end to end: modelling, projections and the decisions that come out of them.",,,,
feature-billing-plan,tuesday,morning,commercial,New feature: create the billing and outbound comms,Work out what the new feature will cost customers and how it will be billed.,"The last piece of the feature launch is the money: what schools will pay, how it will sit on their invoice, and how it will roll into their renewal. Set the pricing so it is fair for a small school and a large one, and make sure the promotion, the training and the billing land as one coherent experience, so a customer hears about the feature, learns it, and pays for it without any part feeling bolted on.",,,,
staff-management-one-to-ones,tuesday,afternoon,people,Staff one-to-ones,"Sit down with each person on the team, because in a small team problems get absorbed silently.","I manage our internal staff and our external contractors. In a team small enough that everyone is load-bearing, the one-to-one is the early warning system. Use these conversations to surface where someone is quietly carrying too much, and what they need from me to make decisions without waiting on me. Good people leave quietly if you only talk to them when something is wrong.",,,,
international-reseller-sync,wednesday,morning,partnerships,International vendor relationship,"Work directly with the platform’s international vendor: roadmap, licensing, reseller terms.","We resell an international platform, so part of every week is working with the vendor: what is on their roadmap, what needs adapting for New Zealand schools, and what our licensing and reseller terms need to be. I am the single point of contact across their sales, technical, support and leadership teams, and I negotiate and renew the partnership contract itself.",,,,
vendor-supplier-management,wednesday,afternoon,partnerships,Suppliers and contractors,"Hold our suppliers and contractors to dates and standards, so their slippage never reaches a customer.","Beyond the platform vendor there is a ring of suppliers and contractors: production, print, technical contractors, service providers. A supplier missing a deadline becomes your missed deadline in the customer’s eyes, so keep timelines explicit, review the work against what was agreed, and replace relationships that repeatedly cost us. Referral partners sit in this mix too, and those I invest in.",,,,
operational-workflows-tooling,thursday,morning,systems,Operational workflows and tooling,Turn the processes that run on memory into processes that run on a system.,"Any process that only works because a particular person remembers it is a risk waiting for someone’s leave to fall due. Document and rebuild the recurring workflows: onboarding, renewals, handover, so they run off a system rather than off recall. Unglamorous work, but it is why the operation can scale without me becoming the bottleneck.",,,,
resource-allocation,thursday,afternoon,people,Resource allocation,"Set the week’s priorities against real availability, and say out loud what we will not do.","Allocation is mostly the discipline of naming what gets dropped. Set the week’s commitments against the time we actually have, and make the trade-offs visible, so nobody is quietly holding three things that have each been called the priority. The team can push back on a visible plan; they cannot push back on an assumption.",,,,
board-reporting-compilation,friday,morning,systems,Board reporting,"Write the regular report to the board, including the parts that are not going well.","Report regularly to the board, and write those reports to be acted on, not admired. Performance, pipeline, delivery and finances go in as they are, including the problems, while they are still small enough to fix. A report that requires no response from the board is a report that was not worth writing.",,,,
annual-uplift-planning,friday,afternoon,commercial,Annual uplift and exchange-rate planning,Plan the annual price uplift so exchange-rate movement does not quietly eat the margin.,"Our licensing costs are in a foreign currency and our customers pay in New Zealand dollars, so exchange-rate movement goes straight to the margin unless it is planned for. Each year work through the uplift: what our costs have actually done, what increase customers need to see to hold our margin, and how to communicate it so a school understands the reason, rather than just receiving a bigger invoice with no explanation.",,,,
